sentence,tokens,labels
1 masala vada with spicy,"['1', 'masala', 'vada', 'with', 'spicy']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION']"
2 idlis with extra chutney,"['2', 'idlis', 'with', 'extra', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
one pongal less oil,"['one', 'pongal', 'less', 'oil']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
three vada no onion,"['three', 'vada', 'no', 'onion']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plate of puri with chutney,"['plate', 'of', 'puri', 'with', 'chutney']","['B-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
half plate idli with chutney,"['half', 'plate', 'idli', 'with', 'chutney']","['B-QUANTITY', 'I-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
two pooris no masala,"['two', 'pooris', 'no', 'masala']","['B-QUANTITY', 'B-FOOD', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
3 vada with less chutney,"['3', 'vada', 'with', 'less', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
just coffee,"['just', 'coffee']","['O', 'B-FOOD']"
one filter coffee,"['one', 'filter', 'coffee']","['B-QUANTITY', 'B-FOOD', 'I-FOOD']"
get me 2 masala dosas,"['get', 'me', '2', 'masala', 'dosas']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'I-FOOD']"
i want hot pongal,"['i', 'want', 'hot', 'pongal']","['O', 'O', 'B-CUSTOMIZATION', 'B-FOOD']"
4 idlis and 1 vada,"['4', 'idlis', 'and', '1', 'vada']","['B-QUANTITY', 'B-FOOD', 'O', 'B-QUANTITY', 'B-FOOD']"
single vada with no chutney,"['single', 'vada', 'with', 'no', 'chutney']","['B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
plate of samosa with sauce,"['plate', 'of', 'samosa', 'with', 'sauce']","['B-QUANTITY', 'O', 'B-FOOD', 'O', 'B-CUSTOMIZATION']"
one hot idli,"['one', 'hot', 'idli']","['B-QUANTITY', 'B-CUSTOMIZATION', 'B-FOOD']"
no spicy in dosa,"['no', 'spicy', 'in', 'dosa']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-FOOD']"
extra sambar for pongal,"['extra', 'sambar', 'for', 'pongal']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-FOOD']"
one pav bhaji,"['one', 'pav', 'bhaji']","['B-QUANTITY', 'B-FOOD', 'I-FOOD']"
need strong tea,"['need', 'strong', 'tea']","['O', 'B-CUSTOMIZATION', 'B-FOOD']"
3 medu vada with sambar,"['3', 'medu', 'vada', 'with', 'sambar']","['B-QUANTITY', 'B-FOOD', 'I-FOOD', 'O', 'B-CUSTOMIZATION']"
no oil in pongal,"['no', 'oil', 'in', 'pongal']","['B-CUSTOMIZATION', 'I-CUSTOMIZATION', 'O', 'B-FOOD']"
give me 1 poori with less salt,"['give', 'me', '1', 'poori', 'with', 'less', 'salt']","['O', 'O', 'B-QUANTITY', 'B-FOOD', 'O', 'B-CUSTOMIZATION', 'I-CUSTOMIZATION']"
